  QueueTimes | ServiceTimes | SojournTimes

       0.110 |      728.171 |      728.280
       0.125 |     1037.643 |     1037.768
       0.164 |      816.484 |      816.648
       0.098 |      741.685 |      741.783
     223.100 |      236.347 |      459.447
       0.159 |      770.380 |      770.539
       0.116 |      332.278 |      332.394
       0.106 |      954.708 |      954.815
       0.118 |      342.382 |      342.500
       0.124 |     1253.387 |     1253.511
       0.132 |      538.502 |      538.635
       0.143 |      913.127 |      913.271
       0.128 |      601.617 |      601.745
       0.108 |     1045.667 |     1045.774
       0.130 |     1986.634 |     1986.764
       0.110 |      971.448 |      971.558
     317.311 |     1729.488 |     2046.799
       0.095 |      870.162 |      870.258
       0.095 |      887.823 |      887.918
       0.120 |     2039.538 |     2039.658
       0.088 |      577.353 |      577.441
       0.073 |      199.481 |      199.554
       0.099 |      987.569 |      987.667
       0.089 |      993.243 |      993.332
       0.088 |     1139.792 |     1139.880
       0.126 |      938.573 |      938.699
       0.095 |     2137.018 |     2137.114
       0.083 |      761.131 |      761.214
       0.086 |     1013.696 |     1013.782
       0.109 |     1327.530 |     1327.639
       0.097 |      429.724 |      429.821
       0.082 |      579.775 |      579.857
       0.126 |      878.099 |      878.225
       0.098 |     1272.629 |     1272.727
       0.119 |     1598.596 |     1598.715
       0.106 |     1366.854 |     1366.959
       0.091 |     1968.940 |     1969.031
       0.127 |      589.401 |      589.528
       0.114 |     1092.449 |     1092.563
       0.097 |      913.062 |      913.159
       0.116 |      823.996 |      824.112
       0.091 |      870.295 |      870.386
       0.086 |      527.064 |      527.151
       0.119 |      330.100 |      330.219
       0.117 |     1914.354 |     1914.471
       0.092 |     1309.069 |     1309.161
       0.094 |      952.807 |      952.901
       0.106 |      835.305 |      835.411
       0.110 |      450.109 |      450.218
       0.080 |      730.654 |      730.734
       0.086 |     1602.847 |     1602.934
       0.097 |     1476.539 |     1476.636
       0.115 |      841.350 |      841.465
       0.091 |     1156.559 |     1156.650
       0.125 |     1465.510 |     1465.635
       1.124 |     1094.305 |     1095.430
       0.095 |      798.253 |      798.347
       0.112 |      531.923 |      532.035
       0.122 |     1149.589 |     1149.711
       0.090 |     1590.582 |     1590.672
       0.112 |     1122.395 |     1122.507
       0.095 |     1342.500 |     1342.595
       0.079 |     1227.150 |     1227.229
       0.098 |     1328.180 |     1328.278
       0.129 |     2909.967 |     2910.096
       0.102 |     1464.471 |     1464.573
       0.119 |     1480.349 |     1480.468
       0.112 |     1380.501 |     1380.613
       0.124 |      925.224 |      925.349
       0.125 |     2359.383 |     2359.508
       0.071 |     1975.311 |     1975.382
       0.113 |      626.720 |      626.833
       0.122 |     1912.784 |     1912.906
       0.162 |     1945.136 |     1945.298
       0.121 |     1432.946 |     1433.067
       0.097 |     1695.315 |     1695.412
       0.138 |      883.496 |      883.634
       0.119 |      930.036 |      930.155
       0.133 |      320.846 |      320.979
      19.295 |      302.693 |      321.989
       0.105 |     1422.436 |     1422.541
       0.106 |      287.604 |      287.710
       0.093 |      644.294 |      644.387
       0.079 |     2569.087 |     2569.166
       0.099 |     1092.041 |     1092.140
       0.126 |      435.435 |      435.561
       0.077 |     1272.958 |     1273.035
       0.140 |      688.401 |      688.540
       0.104 |      294.053 |      294.158
       0.105 |      426.702 |      426.807
       0.120 |      486.241 |      486.361
       0.092 |      491.484 |      491.576
       0.097 |     1333.022 |     1333.119
       0.079 |      424.283 |      424.362
       0.101 |      668.947 |      669.048
       0.111 |      564.712 |      564.823
       0.099 |      925.567 |      925.666
       0.073 |      662.212 |      662.285
       0.108 |      741.129 |      741.237
       0.086 |     1680.513 |     1680.599
       0.082 |     1524.382 |     1524.464
       0.123 |      266.213 |      266.336
       0.107 |      738.252 |      738.359
       0.100 |      663.027 |      663.127
       0.097 |     2316.305 |     2316.402
     436.701 |      312.911 |      749.613
       0.117 |      341.884 |      342.002
     227.353 |      390.675 |      618.028
       0.075 |      757.942 |      758.017
       0.113 |      882.405 |      882.519
       0.097 |      794.442 |      794.538
       0.104 |      676.246 |      676.350
       0.104 |     1519.571 |     1519.674
      39.677 |     1769.673 |     1809.350
       0.108 |     1760.868 |     1760.976
       0.098 |      753.101 |      753.199
       0.107 |     1228.142 |     1228.249
       0.120 |     1571.561 |     1571.681
       0.078 |     1406.712 |     1406.790
       0.109 |     1534.647 |     1534.756
       0.112 |     2090.755 |     2090.867
       0.128 |     1031.179 |     1031.307
       0.114 |      436.127 |      436.240
       0.107 |     1763.777 |     1763.884
       0.082 |      600.388 |      600.470
       0.160 |      858.840 |      859.001
       0.109 |      739.567 |      739.676
       0.088 |      901.769 |      901.857
       0.124 |     1128.997 |     1129.121
       0.097 |     1203.502 |     1203.599
       0.123 |     1887.257 |     1887.380
       0.072 |      762.133 |      762.204
       0.090 |     1725.639 |     1725.729
       0.104 |     1361.737 |     1361.842
       0.100 |     1136.766 |     1136.866
       0.102 |     1243.383 |     1243.485
       0.123 |      583.113 |      583.236
       0.103 |     1919.869 |     1919.971
       0.102 |      920.489 |      920.592
       0.125 |      610.411 |      610.537
       0.089 |      709.811 |      709.900
       0.074 |     1058.626 |     1058.700
       0.105 |     3729.405 |     3729.510
       0.099 |      502.616 |      502.715
       0.102 |      598.106 |      598.208
       0.112 |     1198.218 |     1198.330
       0.075 |      736.236 |      736.312
       0.071 |      588.923 |      588.993
       0.110 |     2029.154 |     2029.264
       0.113 |     1924.137 |     1924.250
       0.076 |      153.383 |      153.459
       0.085 |      209.536 |      209.621
       0.113 |      886.376 |      886.490
       0.130 |     2297.783 |     2297.913
       0.118 |      829.926 |      830.044
       0.102 |      610.680 |      610.782
       0.106 |      370.063 |      370.169
       0.075 |     3634.865 |     3634.939
       0.117 |      579.750 |      579.867
       0.105 |      681.319 |      681.424
       0.112 |      320.549 |      320.661
       0.101 |      484.094 |      484.195
       0.098 |     2026.056 |     2026.155
       0.111 |      757.367 |      757.479
       0.075 |      272.519 |      272.594
       0.124 |      822.498 |      822.622
       0.120 |      710.076 |      710.196
       0.109 |      960.853 |      960.962
       0.114 |      945.873 |      945.988
       0.097 |      894.957 |      895.054
       0.107 |      970.971 |      971.078
       0.120 |     1085.048 |     1085.168
       0.109 |     1246.739 |     1246.848
       0.103 |      520.567 |      520.670
       0.087 |      286.943 |      287.030
       0.200 |      916.069 |      916.269
       0.099 |      248.535 |      248.634
       0.104 |      408.366 |      408.470
       0.117 |      732.797 |      732.914
       0.093 |      907.510 |      907.603
       0.099 |      509.248 |      509.347
       0.089 |      292.091 |      292.180
       0.109 |      784.037 |      784.145
       0.112 |      450.797 |      450.909
       0.116 |      339.881 |      339.997
       0.100 |      542.237 |      542.337
     116.734 |      291.450 |      408.184
       0.125 |     1022.854 |     1022.979
       0.671 |     1120.519 |     1121.190
       0.076 |      555.358 |      555.434
       0.152 |      846.453 |      846.605
       0.117 |     1133.517 |     1133.634
      40.604 |      666.901 |      707.505
       0.145 |      707.235 |      707.380
       0.079 |      389.747 |      389.827
       0.101 |      220.067 |      220.168
       0.098 |      883.175 |      883.273
      20.850 |      794.849 |      815.699
       0.067 |      958.538 |      958.605
      36.415 |     1011.589 |     1048.004
       0.091 |      816.715 |      816.806
       0.077 |     1032.895 |     1032.972
       0.130 |     1426.501 |     1426.632
       0.098 |      961.214 |      961.312
       0.115 |      188.335 |      188.450
       0.107 |      801.703 |      801.810
       0.070 |     1306.942 |     1307.013
       0.098 |      645.490 |      645.588
       0.122 |      620.069 |      620.192
       0.069 |      529.858 |      529.927
       0.104 |     1575.866 |     1575.970
       0.110 |     1374.591 |     1374.701
       0.104 |      386.685 |      386.789
